OID_,PerSqFeet,Area,lat,lon,NAME_ENG,OP_YRM,FLAT_NO,DGFA,NDGFA,TOTAL,BD_STOREY,Year,Income2016,WalkDis,Lift,SDU_cat,Potential,Management,MajorEstat,Easting,Northing,dc_eng,SDU_IND
4,7643,942,22.29019,114.19685,MIDO APARTMENTS,7/1/1958 0:00,0,5360.1,918.6,6278.7,16,66,26780,0.4,1,1,0,1,0,838326,816811,Eastern,**
6,10852,645,22.28957,114.20908,LIDO APARTMENTS,5/1/1958 0:00,0,12936.5,542.9,13479.4,17,66,26990,0.2,1,1,0,1,0,839609,816746,Eastern,**
7,10009,1049,22.29019,114.19685,MIDO APARTMENTS,7/1/1958 0:00,0,5360.1,918.6,6278.7,16,66,26780,0.4,1,1,0,1,0,838326,816811,Eastern,**
9,13605,735,22.2854,114.19096,GORDON HOUSE,6/1/1958 0:00,0,7192.5,322.8,7515.3,16,66,19250,0.3,1,0,0,1,0,837720,816268,Eastern,*
17,8888,1044,22.29734,114.17261,MIRADOR MANSION,7/1/1959 0:00,0,37625,18480,56105,18,65,19500,0.05,1,2,0,1,0,835826,817623,Yau Tsim Mong,***
18,7194,1390,22.30576,114.16911,UNITED MANSION BLOCK A,11/1/1958 0:00,0,7465,1543,9008,16,66,16640,0.2,1,2,1,1,0,835474,818532,Yau Tsim Mong,***
22,10224,978,22.28333,114.1919,GOLDEN COURT,11/1/1958 0:00,0,9535,2377,11912,12,66,35350,0.05,1,0,0,1,0,837816,816026,Eastern,*
23,9280,625,22.28034,114.22397,LAI LAM BUILDING,2/1/1959 0:00,0,2598.8,218,2816.8,11,66,25000,0.2,1,0,0,1,0,841123,815728,Eastern,*
24,10000,598,22.31738,114.17057,WING WAH BUILDING,5/1/1959 0:00,0,5020,4135,9155,12,65,19640,0.2,1,1,1,1,0,835615,819817,Yau Tsim Mong,**
25,9627,590,22.2907,114.19647,CORONET COURT,9/1/1958 0:00,0,12025.8,1436.1,13461.9,15,66,19800,0.4,1,2,0,1,0,838289,816857,Eastern,***
26,8647,636,22.27974,114.22545,LOK KWAN HOUSE,10/1/1958 0:00,0,5867,494,6361,12,66,32000,0.4,1,1,0,1,0,841277,815661,Eastern,**
27,6984,859,22.30045,114.17475,KIMLEY HOUSE,6/1/1985 0:00,34,1466.9,177.1,1644,18,39,15630,0.4,1,0,0,1,0,836050,817944,Yau Tsim Mong,*
28,9069,860,22.30253,114.17505,COMPANION COURT,1/1/1959 0:00,0,3447.2,463.8,3911,10,66,19210,0.4,1,2,0,0,0,836077,818175,Yau Tsim Mong,***
29,10000,550,22.29734,114.17261,MIRADOR MANSION,7/1/1959 0:00,0,37625,18480,56105,18,65,19500,0.05,1,2,0,1,0,835826,817623,Yau Tsim Mong,***
31,8800,725,22.29093,114.20014,MAYLUN APARTMENTS,7/1/1959 0:00,0,19383,1542,20925,18,65,22170,0.05,1,2,0,1,0,838680,816869,Eastern,***
49,13838,831,22.28343,114.19156,TRIUMPH COURT,10/1/1959 0:00,0,7754,795.2,8549.2,11,65,35350,0.05,1,0,0,0,0,837784,816060,Eastern,*
