PerSqFeet,Area,lat,lon,NAME_ENG,OP_YRM,FLAT_NO,DGFA,NDGFA,TOTAL,BD_STOREY,Year,Income2016,WalkDis,Lift,SDU_cat,Potential,Management,MajorEstat,Easting,Northing,dc_eng,SDU_IND,Predicted_SDU,Probability_Non_SDU,Probability_SDU,,
8571,511,22.33816,114.15609,CHEUNG FAT MANSION,12/1/1958 0:00,0,3515.5,305.6,3821.1,9,66,19000,0.4,0,0,1,0,0,0,0,Sham Shui Po, ,1,0.10833931,0.8916607,1,
8571,511,22.33816,114.15609,CHEUNG FAT MANSION,12/1/1958 0:00,0,3515.5,305.6,3821.1,9,66,19000,0.4,0,0,1,0,0,0,0,Sham Shui Po, ,1,0.10833931,0.8916607,,
5985,401,22.33806,114.15712,FAT CHEUNG BUILDING,11/1/1965 0:00,0,1632.9,423,2055.9,9,59,19000,0.3,0,0,1,1,0,834235,822111,Sham Shui Po,*,1,0.10203993,0.89796007,1,
5985,401,22.33806,114.15712,FAT CHEUNG BUILDING,11/1/1965 0:00,0,1632.9,423,2055.9,9,59,19000,0.3,0,0,1,1,0,834235,822111,Sham Shui Po,*,1,0.10203993,0.89796007,,
13839,461,22.31562,114.19021,KIU FAT MANSION,7/1/1965 0:00,0,14198.9,1101.5,15300.4,15,59,17770,0.3,0,0,0,0,0,0,0,Kowloon City, ,1,0.3682453,0.6317547,1,
11720,529,22.31565,114.19024,KIU FAT MANSION,7/1/1965 0:00,0,14198.9,1101.5,15300.4,15,59,17770,0.3,0,0,0,0,0,0,0,Kowloon City, ,1,0.3682453,0.6317547,1,
7653,601,22.33115,114.16138,LAN FONG BUILDING,5/1/1965 0:00,0,3715.3,688.6,4403.9,12,59,14690,0.05,0,0,0,1,0,0,0,Sham Shui Po, ,1,0.023994982,0.976005,1,
7939,529,22.33115,114.16138,LAN FONG BUILDING,5/1/1965 0:00,0,3715.3,688.6,4403.9,12,59,14690,0.05,0,0,0,1,0,0,0,Sham Shui Po, ,1,0.023994982,0.976005,1,
7653,601,22.33115,114.16138,LAN FONG BUILDING,5/1/1965 0:00,0,3715.3,688.6,4403.9,12,59,14690,0.05,0,0,0,1,0,0,0,Sham Shui Po, ,1,0.023994982,0.976005,,
7939,529,22.33115,114.16138,LAN FONG BUILDING,5/1/1965 0:00,0,3715.3,688.6,4403.9,12,59,14690,0.05,0,0,0,1,0,0,0,Sham Shui Po, ,1,0.023994982,0.976005,,
