OBJECTID,Join_Count,TARGET_FID,BUILDINGST,BUILDINGCS,OFFICIALBU,OFFICIAL00,NUMABOVEGR,NUMBASEMEN,TOPHEIGHT,BASEHEIGHT,GROSSFLOOR,Address_Chinese,Address_English,Date_of_Expiry,Date_of_Issue,Lift_No,Location_ID,GeometryLongitude,GeometryLatitude,ADDRES_OF_THE_BUILDING_IN_CHN,ADDRES_OF_THE_BUILDING_IN_ENG,CORPORATION_NUM,THE_INCORPORATED_OWNERS_OF_IN_CHN,THE_INCORPORATED_OWNERS_OF_IN_ENG,GeometryLongitude_1,GeometryLatitude_1,ADDRESS_E,SEARCH1_E,OP_YEAR,AGE,NSEARCH5_E,LATITUDE,LONGITUDE,lsbg_eng,ma_hh,FacilityID,Name,FromBreak,ToBreak,Shape_Leng_1,Shape_Area_12,LIFT,MANAGEMENT,INCOME,MTR_DISTANCE,Shape_Length,Shape_Area,SDU
205,0,205,211596,3607521702P20060311, , ,0,2,0,0,0,"九龍 九龍塘 達之路 又一居, 1 座","PARC OASIS,  TAT CHEE AVENUE, KOWLOON TONG, KOWLOON, BLOCK 1",46084,45699,1,0208485-001,114.174467,22.33362325,,,,,,,,PARC OASIS CLUBHOUSE 23 PARC OASIS RD,Sham Shui Po,1992,33,Others,22.33422795,114.1750601,268/32,74040,0,0.45 - 0.5,0.45,0.5,3.590494081,0.000530057,1,0,74040,0.5,776.9668972,10627.66119,0
252,0,252,211563,3603822022P20060311,FESTIVAL WALK,又一城,0,0,0,0,0,九龍 九龍塘 達之路 80號 又一城,"FESTIVAL WALK, 80 TAT CHEE AVENUE, KOWLOON TONG, KOWLOON",46046,45639,5,1011324-001,114.1748747,22.33704585,,,,,,,,TA GPA K291 TAT CHEE AVE BUS TERMINUS,Sham Shui Po,1998,27,Office/Commercial,22.33730153,114.1746099,268/02 and 268/30-31,94460,0,0.15 - 0.2,0.15,0.2,3.237554002,0.000481307,1,0,94460,0.2,689.8995387,18678.85641,0
262,0,262,211555,3603021893P20060311,CITY UNIVERSITY OF HONG KONG ACADEMIC EXCHANGE BUILDING,香港城市大學學術交流大樓,0,0,24.5,0,0,九龍 九龍塘 達之路 81號 學術交流大樓,"ACADEMIC EXCHANGE BUILDING, 81 TAT CHEE AVENUE, KOWLOON TONG, KOWLOON",45784,45397,1,1011049-001,114.1747194,22.33609764,,,,,,,,81 TAT CHEE AVE CITY UNIVERSITY OF HONG KONG ACADEMIC EXCHANGE BUILDING,Sham Shui Po,1997,28,Others,22.33609848,114.1745774,268/02 and 268/30-31,94460,0,0.05 - 0.1,0.05,0.1,2.973101017,0.000374834,1,0,94460,0.1,216.7346553,1621.644761,0
328,0,328,211529,3597821621P20060311, , ,3,0,0,0,0,"九龍 九龍塘 達之路 又一居, 21 座","PARC OASIS,  TAT CHEE AVENUE, KOWLOON TONG, KOWLOON, BLOCK 21",45756,45371,1,121070A-001,114.1739914,22.33327105,,,,,,,,CARPORT (TOWER 21 TO 23 AND 25) PARC OASIS 30 GRANDEUR RD,Sham Shui Po,1994,31,Residential/Composite,22.33360529,114.1740467,268/32,74040,0,0.45 - 0.5,0.45,0.5,3.590494081,0.000530057,1,0,74040,0.5,338.9942806,2949.4408,0
343,0,343,211525,3596621511P20060311, , ,3,0,0,0,0,"九龍 九龍塘 達之路 又一居, 33 座","PARC OASIS,  TAT CHEE AVENUE, KOWLOON TONG, KOWLOON, BLOCK 33",45849,45464,15,1110918-009,114.1739623,22.332666,,,,,,,,21 GRANDEUR RD PARC OASIS TOWER 33,Sham Shui Po,1995,30,Residential/Composite,22.33265133,114.1739474,268/34,82210,0,0.5 - 0.55,0.5,0.55,3.497986879,0.000535478,1,0,82210,0.55,97.74751035,275.802187,0
393,0,393,211515,3592821766P20060311,CITY UNIVERSITY OF HONG KONG TO YUEN BUILDING,香港城市大學桃源樓,0,0,20.6,0,0,九龍 九龍塘 桃源街 31號 桃源樓,"TO YUEN BUILDING, 31 TO YUEN STREET, KOWLOON TONG, KOWLOON",46042,45644,1,0810983-001,114.1735546,22.33492364,,,,,,,,31 TO YUEN ST CITY UNIVERSITY OF HONG KONG TO YUEN BUILDING,Sham Shui Po,1998,27,Residential/Composite,22.3348799,114.1736052,268/02 and 268/30-31,94460,0,0.3 - 0.35,0.3,0.35,3.826992578,0.000578167,1,0,94460,0.35,167.2146803,680.566855,0
407,0,407,211511,3591821509P20060311,THE PRIMROSE,THE PRIMROSE,0,0,33,0,0,九龍 九龍塘 玫瑰街 38號,"THE PRIMROSE, 38 ROSE STREET, KOWLOON TONG, KOWLOON",45946,45565,1,081153A-001,114.1733702,22.33261181,九龍玫瑰街38號,"38 Rose Street, Kowloon",6133,---,THE PRIMROSE,114.17337,22.33261,38 ROSE ST THE PRIMROSE,Sham Shui Po,2000,25,Residential/Composite,22.33262226,114.173376,268/34,82210,0,0.55 - 0.6,0.55,0.6,3.462693453,0.000506987,1,1,82210,0.6,134.8931415,942.7683311,0
529,0,529,356866,3580622085P20121029,CITY UNIVERSITY OF HONG KONG ACADEMIC 3,香港城市大學學術樓(三),8,0,0,0,0,九龍 九龍塘 達之路 81號 至83號 香港城市大學 學術樓3,"ACADEMIC 3, CITY UNIVERSITY OF HONG KONG, 81-83 TAT CHEE AVENUE, KOWLOON TONG, KOWLOON",45821,45436,9,0612980-001,114.1726517,22.33777728,,,,,,,,83 TAT CHEE AVE CITY UNIVERSITY OF HONG KONG ACADEMIC 3,Sham Shui Po,2012,13,Others,22.33815331,114.1723141,268/02 and 268/30-31,94460,0,0.35 - 0.4,0.35,0.4,3.716891998,0.000587595,1,0,94460,0.4,472.6131132,5378.843018,0
591,0,591,209200,3574422376P20060427, , ,2,1,0,0,0,九龍 九龍塘 歌和老街 20號 畢架山峰,"MOUNT BEACON, 20 CORNWALL STREET, KOWLOON TONG, KOWLOON",45913,45503,2,0113212-001,114.1720886,22.33982721,,,,,,,,MOUNT BEACON 20 CORNWALL ST,Sham Shui Po,2006,19,Residential/Composite,22.34052886,114.1715949,268/02 and 268/30-31,94460,0,0.75 - 0.8,0.75,0.8,3.20681099,0.000451286,1,0,94460,0.8,619.8650889,13352.73609,0
3969,0,3969,236723,3380922350P20071101,ONE NEW YORK,ONE NEW YORK,5,0,0,0,0,九龍 長沙灣 青山道 468號 NKIL 1175 地段,"ONE NEW YORK, 468 CASTLE PEAK ROAD, NKIL  1175, CHEUNG SHA WAN, KOWLOON",45806,45391,1,0513403-001,114.1529359,22.34017771,,,,,,,,462 CASTLE PEAK RD,Sham Shui Po,2007,18,Residential/Composite,22.34018579,114.1529554,261/16,14240,0,0.5 - 0.55,0.5,0.55,3.497986879,0.000535478,1,0,14240,0.55,95.15299326,573.2916452,0
3977,0,3977,239582,3379522169P20071023,SEA PANORAMA COURT,君凱豪庭,3,0,0,0,0,九龍 長沙灣 福華街 561號 至563號,"561-563 FUK WA STREET, CHEUNG SHA WAN, KOWLOON",45812,45435,1,0812582-001,114.152907,22.33862444,九龍長沙灣褔榮街561號,"561 Fuk Wa Street, Cheung Sha Wan, Kowloon",7714,君凱豪庭,SEA PANORAMA COURT,114.15291,22.33862,561 FUK WA ST SEA PANORAMA COURT,Sham Shui Po,2008,17,Residential/Composite,22.33862645,114.1529031,"261/06-15, 261/19-22, 261/27 and 261/29-30",25520,0,0.25 - 0.3,0.25,0.3,3.655410697,0.000566436,1,1,25520,0.3,56.80599016,150.9747481,0
3982,0,3982,202023,3379122360P20050510,YIU FAI MANSION,耀輝大廈,1,0,0,0,0,九龍 長沙灣 集輝街 2號 至12號 A 耀煇大廈,"YIU FAI MANSION, 2-12A TSAP FAI STREET, CHEUNG SHA WAN, KOWLOON",45827,45476,1,0308617-001,114.1528194,22.34036733,九龍集輝街2-12A號,"2-12A Tsap Fai Street, Kowloon",4061,耀輝大廈,YIU FAI MANSION,114.15282,22.34031,12A TSAP FAI ST YIU FAI MANSION,Sham Shui Po,1989,36,Residential/Composite,22.34036804,114.1528163,261/16,14240,0,0.5 - 0.55,0.5,0.55,3.497986879,0.000535478,1,1,14240,0.55,72.31412537,316.5218605,0
3985,0,3985,434212,3378822149P20240901, , ,0,0,10.3,0,0,九龍 長沙灣 昌華街 1號,"1 CHEUNG WAH STREET, CHEUNG SHA WAN, KOWLOON",45936,45538,L1,1013241-001,114.1527809,22.33841672,,,,,,,,1 CHEUNG WAH STREET,Sham Shui Po,2023,2,Residential/Composite,22.33840781,114.1527998,"261/06-15, 261/19-22, 261/27 and 261/29-30",25520,0,0.25 - 0.3,0.25,0.3,3.655410697,0.000566436,1,0,25520,0.3,65.32422975,250.6639408,0
3988,0,3988,210414,3378321596P20060311,YEE KUK INDUSTRIAL CENTRE,怡高工業中心,0,0,18.7,0,0,九龍 長沙灣 醫局街 555號 怡高工業中心,"YEE KUK INDUSTRIAL CENTRE, 555 YEE KUK STREET, CHEUNG SHA WAN, KOWLOON",45835,45436,1,0709557-001,114.1527914,22.33353118,九龍醫局街555號,"555 Yee Kuk Street, Kowloon",6241,怡高工業中心,YEE KUK INDUSTRIAL CENTRE,114.15279,22.33353,555 YEE KUK ST YEE KUK INDUSTRIAL CENTRE,Sham Shui Po,1991,34,Industrial,22.33343336,114.1527429,264/33 and 264/62-64,68290,0,0.3 - 0.35,0.3,0.35,3.826992578,0.000578167,1,1,68290,0.35,157.9695573,1597.691841,0
3990,0,3990,379541,3378222185P20151118,HIGH ONE,曉悅,0,0,0,0,0,九龍 長沙灣 福華街 571號 曉悅,"HIGH ONE, 571 FUK WA STREET, CHEUNG SHA WAN, KOWLOON",45804,45428,1,0613190-001,114.1528294,22.33868765,,,,,,,,7 MORETON TERRACE LE PETIT ROSEDALE HOTEL HONG KONG,Sham Shui Po,2016,9,Residential/Composite,22.33873421,114.152739,"261/06-15, 261/19-22, 261/27 and 261/29-30",25520,0,0.25 - 0.3,0.25,0.3,3.655410697,0.000566436,1,0,25520,0.3,107.7250337,700.3030586,0
4001,0,4001,210405,3376622164P20060311,CHARMING GARDEN,長盛豪苑,0,0,0,0,0,九龍 長沙灣 長沙灣道 634號 至648號 長盛豪苑,"CHARMING GARDEN, 634-648 CHEUNG SHA WAN ROAD, CHEUNG SHA WAN, KOWLOON",46040,45635,1,0811416-001,114.1526061,22.33855216,九龍長沙灣道638號,"638 Cheung Sha Wan Road, Kowloon",6180,長盛豪苑(長沙灣道),CHARMING GARDEN (CHEUNG SHA WAN ROAD),114.1526,22.33855,638 CHEUNG SHA WAN RD CHARMING GARDEN,Sham Shui Po,1999,26,Residential/Composite,22.33855496,114.1525911,"261/06-15, 261/19-22, 261/27 and 261/29-30",25520,0,0.25 - 0.3,0.25,0.3,3.655410697,0.000566436,1,1,25520,0.3,125.2271478,635.441714,0
