OID_,PerSqFeet,Area,lat,lon,NAME_ENG,OP_YRM,FLAT_NO,DGFA,NDGFA,TOTAL,BD_STOREY,Year,Income2016,WalkDis,Lift,SDU_cat,Potential,Management,MajorEstat,Easting,Northing,dc_eng,SDU_IND
3,7842,686,22.33963,114.15527,WO HING BUILDING,6/1/1957 0:00,0,5632.5,643.1,6275.6,8,67,20000,0.5,0,2,0,1,0,834044,822285,Sham Shui Po,***
8,8695,759,22.32917,114.16683,WAH KIU MANSION,7/1/1958 0:00,0,8183.8,746.5,8930.3,12,66,27740,0.4,1,1,0,1,0,835232,821128,Sham Shui Po,**
11,9615,884,22.32163,114.17922,MANDARIN COURT BLOCK 1,12/1/1958 0:00,0,5790.5,0,5790.5,12,66,87000,1,1,0,0,1,0,836510,820291,Kowloon City,*
12,8571,511,22.33816,114.15609,CHEUNG FAT MANSION,12/1/1958 0:00,0,3515.5,305.6,3821.1,9,66,19000,0.4,0,0,1,0,0,0,0,Sham Shui Po, 
14,12893,698,22.3251,114.17805,MAY MOON HOUSE,6/1/1959 0:00,0,2857.3,110,2967.3,13,65,84160,1,1,0,0,1,0,836386,820675,Kowloon City,*
15,10256,780,22.31611,114.22327,HONG NING BUILDING,7/1/1963 0:00,0,8823.9,1293,10116.9,11,61,17100,0.6,0,2,1,0,0,841048,819678,Kwun Tong,***
30,8323,865,22.30081,114.18705,One Harbour Gate - West Office Villa,1/1/2016 0:00,0,0,54812,54812,15,9,62210,0.5,1,0,0,0,0,0,0,Kowloon City, 
32,14884,739,22.32924,114.16299,WAH TANG BUILDING,1/1/1968 0:00,0,2544.7,606.5,3151.2,14,57,17550,0.05,1,1,1,1,0,834838,821132,Sham Shui Po,**
34,12850,856,22.32924,114.16299,WAH TANG BUILDING,1/1/1968 0:00,0,2544.7,606.5,3151.2,14,57,17550,0.05,1,1,1,1,0,834838,821132,Sham Shui Po,**
35,12040,696,22.32924,114.16299,WAH TANG BUILDING,1/1/1968 0:00,0,2544.7,606.5,3151.2,14,57,17550,0.05,1,1,1,1,0,834838,821132,Sham Shui Po,**
