PerSqFeet,Area,lat,lon,NAME_ENG,OP_YRM,FLAT_NO,DGFA,NDGFA,TOTAL,BD_STOREY,Year,Income2016,WalkDis,Lift,SDU_cat,Potential,Management,MajorEstat,Easting,Northing,dc_eng,SDU_IND,Predicted_SDU,Probability_Non_SDU,Probability_SDU,,
8695,759,22.32917,114.16683,WAH KIU MANSION,7/1/1958 0:00,0,8183.8,746.5,8930.3,12,66,27740,0.4,1,1,0,1,0,835232,821128,Sham Shui Po,**,0,0.7584062,0.2415938,-1,
8408,509,22.33045,114.16625,TUNG LO COURT BLOCK A,8/1/1960 0:00,0,19107.3,1696.8,20804.1,12,64,28430,0.3,0,1,0,1,0,835177,821256,Sham Shui Po,***,0,0.7584062,0.2415938,-1,
11017,570,22.3166,114.18734,LUCKY BUILDING,8/1/1964 0:00,0,13255.3,947.7,14203,19,60,25000,0.05,1,1,0,1,0,837348,819734,Kowloon City,**,0,0.8413194,0.15868062,-1,
10513,760,22.3166,114.18734,LUCKY BUILDING,8/1/1964 0:00,0,13255.3,947.7,14203,19,60,25000,0.05,1,1,0,1,0,837348,819734,Kowloon City,**,0,0.7958525,0.20414753,-1,
10442,429,22.3161,114.22591,YEN FU MANSION,6/1/1967 0:00,0,9146,996.5,10142.5,23,57,16330,0.5,1,1,0,1,0,841317,819687,Kwun Tong,**,0,0.51005214,0.48994786,-1,
8536,410,22.31706,114.22633,HOPEWELL HOUSE,6/1/1967 0:00,0,15087,2428.9,17515.9,21,57,20370,0.7,1,1,0,1,0,841359,819776,Kwun Tong,***,0,0.6746936,0.3253064,-1,
9156,415,22.31706,114.22633,HOPEWELL HOUSE,6/1/1967 0:00,0,15087,2428.9,17515.9,21,57,20370,0.7,1,1,0,1,0,841359,819776,Kwun Tong,***,0,0.6746936,0.3253064,-1,
9241,501,22.3161,114.22591,YEN FU MANSION,6/1/1967 0:00,0,9146,996.5,10142.5,23,57,16330,0.5,1,1,0,1,0,841317,819687,Kwun Tong,**,0,0.51005214,0.48994786,-1,
10166,480,22.32973,114.16406,PO CHEUNG BUILDING,8/1/1969 0:00,0,2025.5,1054.3,3079.8,13,55,23210,0.1,1,1,0,1,0,834949,821186,Sham Shui Po,**,0,0.5943968,0.40560317,-1,
9895,480,22.32973,114.16406,PO CHEUNG BUILDING,8/1/1969 0:00,0,2025.5,1054.3,3079.8,13,55,23210,0.1,1,1,0,1,0,834949,821186,Sham Shui Po,**,0,0.5943968,0.40560317,-1,
